,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
21,22,LG생활건강,"1,171,000","11,000",-0.93%,"5,000","182,889","15,618",44.39,"112,748",24.59,17.92,
161,162,DGB금융지주,"10,350",200,-1.90%,"5,000","17,507","169,146",50.28,"493,629",4.11,6.93,
174,175,TIGER 단기통안채,"100,375",0,0.00%,0,"15,699","15,640",0.78,"2,417",,,
74,75,일진머티리얼즈,"100,500","2,500",-2.43%,500,"46,341","46,111",11.39,"685,741",97.38,7.23,
137,138,한샘,"101,500",0,0.00%,"1,000","23,887","23,534",19.05,"85,461",28.73,10.83,
34,35,S-Oil,"102,500","1,000",+0.99%,"2,500","115,397","112,583",78.39,"208,299",13.18,-13.07,
140,141,KODEX 단기채권,"102,925",20,-0.02%,0,"23,327","22,664",0.0,"15,868",,,
1,2,SK하이닉스,"103,000","3,500",-3.29%,"5,000","749,842","728,002",47.27,"3,921,804",12.89,9.53,
165,166,두산,"103,000",500,+0.49%,"5,000","17,020","16,524",10.91,"51,310",-168.58,-34.34,
147,148,효성,"103,000","1,000",-0.96%,"5,000","21,703","21,071",9.19,"24,756",14.06,-2.26,
51,52,한국조선해양,"103,000","1,000",+0.98%,"5,000","72,896","70,773",19.01,"382,914",-4.7,-7.42,
153,154,KODEX 단기채권PLUS,"103,210",15,-0.01%,0,"19,604","18,994",0.0,"2,881,635",,,
111,112,롯데쇼핑,"105,000",500,+0.48%,"5,000","29,703","28,289",10.61,"62,809",-5.13,-7.7,
120,121,키움증권,"105,000","2,500",-2.33%,"5,000","27,530","26,220",25.21,"65,622",2.82,27.63,
181,182,KODEX 종합채권(AA-이상)액티브,"106,550",385,-0.36%,0,"14,609","13,711",0.0,"26,052",,,
45,46,기업은행,"11,050",100,-0.90%,"5,000","82,245","744,301",13.34,"1,925,425",4.64,6.44,
18,19,삼성물산,"114,000","3,000",-2.56%,100,"213,051","186,887",15.21,"542,483",13.0,3.81,
101,102,현대오토에버,"116,500","1,500",-1.27%,500,"31,949","27,424",1.79,"123,414",42.03,11.09,
42,43,현대중공업,"117,000","5,000",+4.46%,"5,000","103,865","88,773",1.43,"690,952",-10.57,-7.86,
192,193,종근당,"117,500",500,+0.43%,"2,500","13,426","11,426",7.88,"45,645",15.77,17.88,
73,74,오리온,"118,000","1,000",-0.84%,500,"46,653","39,536",39.14,"74,962",19.35,15.5,
20,21,LG전자,"120,500","1,500",-1.23%,"5,000","197,196","163,648",30.29,"2,287,460",14.58,13.23,
40,41,넷마블,"123,500",0,0.00%,100,"106,153","85,954",23.15,"147,651",37.1,6.35,
184,185,코스맥스,"124,000","1,500",-1.20%,500,"14,073","11,350",24.17,"48,718",28.73,6.23,
5,6,카카오,"125,500",0,0.00%,100,"558,928","445,361",30.33,"1,872,380",116.96,2.7,
107,108,OCI,"129,500","1,000",-0.77%,"5,000","30,885","23,849",19.97,"306,501",106.67,-9.89,
85,86,NH투자증권,"13,150",50,+0.38%,"5,000","39,060","297,034",17.83,"703,083",4.68,10.32,
44,45,우리금융지주,"13,250",50,+0.38%,"5,000","96,468","728,061",29.17,"2,386,139",4.63,5.87,
187,188,TIGER TOP10,"13,370",260,-1.91%,0,"13,945","104,300",0.24,"337,697",,,
62,63,맥쿼리인프라,"13,700",200,+1.48%,0,"55,464","404,846",14.07,"869,717",,,
125,126,DL이앤씨,"135,000","2,500",+1.89%,"5,000","26,134","19,359",26.61,"169,539",,,
197,198,SK가스,"137,500",500,-0.36%,"5,000","12,692","9,230",7.0,"10,982",5.13,14.91,
56,57,LG유플러스,"14,350",150,-1.03%,"5,000","62,654","436,611",34.23,"838,876",10.82,6.46,
49,50,한온시스템,"14,400",250,-1.71%,100,"76,867","533,800",17.93,"854,792",26.42,5.09,
170,171,대웅제약,"140,000","3,500",-2.44%,"2,500","16,221","11,587",6.95,"37,198",546.88,2.38,
98,99,CJ대한통운,"142,000","3,500",-2.41%,"5,000","32,394","22,812",22.55,"45,422",93.05,3.89,
191,192,롯데칠성,"145,500","12,500",-7.91%,500,"13,501","9,279",8.37,"148,863",59.27,-1.0,
35,36,포스코케미칼,"145,500",0,0.00%,500,"112,709","77,463",7.27,"249,465",105.13,2.96,
33,34,삼성에스디에스,"153,000","2,000",-1.29%,500,"118,388","77,378",11.39,"99,409",18.37,6.71,
31,32,삼성전기,"159,000","8,000",-4.79%,"5,000","118,763","74,694",31.38,"940,122",13.86,10.92,
106,107,한화시스템,"16,400",700,-4.09%,"5,000","30,983","188,919",2.66,"1,006,632",17.79,9.35,
172,173,한국앤컴퍼니,"16,700",50,+0.30%,500,"15,854","94,935",9.95,"58,128",6.39,5.08,
118,119,BGF리테일,"161,500","1,000",-0.62%,"1,000","27,914","17,284",32.89,"25,039",19.89,18.6,
32,33,SK아이이테크놀로지,"166,500","9,500",-5.40%,"1,000","118,710","71,298",9.34,"430,690",109.47,11.0,
55,56,현대글로비스,"167,500","2,000",-1.18%,500,"62,812","37,500",33.79,"154,669",9.31,12.45,
72,73,이마트,"168,000","2,000",+1.20%,"5,000","46,831","27,876",33.86,"142,166",8.29,4.05,
169,170,동국제강,"17,050",150,-0.87%,"5,000","16,271","95,433",23.32,"321,501",5.55,3.35,
65,66,금호석유,"172,000","1,000",-0.58%,"5,000","52,404","30,468",20.13,"142,804",4.07,20.18,
53,54,SKC,"178,000","6,500",+3.79%,"5,000","67,406","37,868",13.84,"619,535",154.78,2.21,
148,149,SK케미칼,"180,000","6,000",-3.23%,"5,000","21,153","11,751",15.67,"138,691",34.17,30.49,
39,40,아모레퍼시픽,"181,500","4,000",-2.16%,500,"106,164","58,493",31.75,"205,224",84.22,0.78,
193,194,한일시멘트,"19,300","2,400",+14.20%,500,"13,367","69,262",2.76,"7,293,498",11.1,,
146,147,TIGER 차이나전기차SOLACTIVE,"19,470",130,+0.67%,0,"21,892","112,440",0.26,"6,445,462",,,
52,53,LG디스플레이,"19,700",50,-0.25%,"5,000","70,490","357,816",15.8,"3,360,500",5.92,-0.79,
157,158,후성,"19,950",550,+2.84%,500,"18,475","92,607",5.7,"3,319,803",184.72,2.79,
155,156,대한전선,"2,255",20,-0.88%,500,"19,313","856,473",2.02,"3,471,748",-118.68,0.92,
143,144,KODEX 200선물인버스2X,"2,300",70,+3.14%,0,"22,545","980,200",4.36,"178,898,061",,,
185,186,롯데관광개발,"20,200",100,-0.49%,500,"13,994","69,276",6.39,"279,612",-8.95,-30.43,
11,12,셀트리온,"200,500","15,000",-6.96%,"1,000","276,559","137,935",20.8,"1,478,926",47.01,16.68,
8,9,현대차,"208,000","2,000",-0.95%,"5,000","444,430","213,668",28.76,"616,255",15.07,2.04,
68,69,LG이노텍,"209,500",0,0.00%,"5,000","49,583","23,667",26.36,"344,801",9.07,10.2,
124,125,포스코인터내셔널,"21,700",200,+0.93%,"5,000","26,772","123,375",7.41,"546,754",9.08,7.69,
133,134,현대로템,"22,500",250,-1.10%,"5,000","24,557","109,142",3.55,"774,015",72.35,2.84,
196,197,TIGER 2차전지테마,"22,535",55,-0.24%,0,"12,856","57,050",0.96,"1,691,524",,,
167,168,아시아나항공,"22,550",800,-3.43%,"5,000","16,780","74,412",8.39,"1,274,121",-24.51,-43.83,
24,25,한국전력,"22,600",100,-0.44%,"5,000","145,084","641,964",14.76,"1,283,887",12.17,2.91,
168,169,KODEX 레버리지,"22,935",740,-3.13%,0,"16,559","72,200",1.36,"24,310,507",,,
48,49,롯데케미칼,"224,500","4,500",-1.97%,"5,000","76,948","34,275",25.89,"160,237",6.44,1.22,
122,123,제일기획,"23,850",250,-1.04%,200,"27,437","115,041",33.19,"293,674",14.68,16.11,
22,23,SK바이오사이언스,"230,000","15,500",-6.31%,500,"175,950","76,500",6.36,"720,677",112.03,13.25,
37,38,삼성화재,"231,000","5,000",-2.12%,500,"109,436","47,375",48.76,"129,997",10.94,4.96,
182,183,프레스티지바이오파마,"24,100",800,-3.21%,0,"14,483","60,096",63.41,"328,889",-169.72,-1.78,
30,31,두산중공업,"24,400",200,+0.83%,"5,000","126,564","518,706",9.15,"9,231,202",-57.96,-37.2,
69,70,삼성엔지니어링,"24,800",400,-1.59%,"5,000","48,608","196,000",32.73,"1,687,463",15.39,17.32,
16,17,SK이노베이션,"242,500","1,000",-0.41%,"5,000","224,229","92,466",24.86,"415,192",-50.24,-13.58,
23,24,SK,"243,000","4,000",-1.62%,200,"170,976","70,360",19.1,"142,845",15.68,1.11,
134,135,신세계,"248,000","3,000",-1.20%,"5,000","24,416","9,845",26.01,"70,057",30.27,-2.81,
166,167,HDC현대산업개발,"25,550",0,0.00%,"5,000","16,839","65,907",10.96,"263,454",9.12,8.85,
119,120,대우조선해양,"25,800",650,+2.58%,"5,000","27,681","107,291",5.8,"452,553",-1.9,2.27,
13,14,현대모비스,"252,000","11,500",-4.36%,"5,000","238,879","94,793",34.95,"557,772",10.81,4.66,
195,196,솔루엠,"26,150",50,+0.19%,500,"13,076","50,006",8.56,"285,700",32.73,43.26,
139,140,현대해상,"26,250",250,-0.94%,500,"23,468","89,400",27.69,"551,096",6.08,7.13,
38,39,HMM,"26,650",0,0.00%,"5,000","108,037","405,392",10.21,"3,627,743",16.88,8.93,
102,103,한미약품,"264,000","4,500",-1.68%,"2,500","31,887","12,078",13.39,"24,469",138.08,1.65,
97,98,메리츠화재,"27,700","1,400",-4.81%,500,"33,413","120,625",10.61,"467,292",6.32,16.91,
57,58,강원랜드,"27,800",50,-0.18%,500,"59,475","213,940",19.35,"900,564",-63.18,-7.92,
100,101,녹십자,"274,500","5,000",+1.86%,"5,000","32,080","11,687",21.27,"121,236",34.32,7.48,
164,165,농심,"283,500",500,-0.18%,"5,000","17,244","6,083",12.67,"12,630",15.57,7.5,
176,177,명신산업,"29,300",250,+0.86%,500,"15,374","52,470",2.44,"669,999",-12.71,-67.39,
188,189,녹십자홀딩스,"29,300",600,-2.01%,500,"13,779","47,028",5.44,"90,675",9.04,19.74,
12,13,POSCO,"296,000","5,000",-1.66%,"5,000","258,073","87,187",54.18,"404,065",6.69,3.61,
109,110,한화생명,"3,475",5,-0.14%,"5,000","30,181","868,530",8.13,"2,430,915",5.51,1.9,
41,42,대한항공,"30,450",350,-1.14%,"5,000","105,911","347,821",11.87,"1,551,095",15.85,-7.22,
46,47,KT,"30,500",200,-0.65%,"5,000","79,639","261,112",44.09,"1,077,843",8.71,4.76,
110,111,한국항공우주,"30,550",250,-0.81%,"5,000","29,779","97,475",12.87,"517,717",151.24,6.39,
17,18,SK텔레콤,"309,500",0,0.00%,500,"223,026","72,060",43.91,0,11.75,6.44,
158,159,대웅,"31,600","1,350",-4.10%,500,"18,373","58,142",4.04,"112,047",19.54,15.1,
171,172,한미반도체,"32,150",400,-1.23%,200,"15,901","49,460",5.85,"437,231",21.43,21.03,
96,97,GS리테일,"32,200",150,-0.46%,"1,000","33,719","104,718",9.53,"187,301",17.67,7.5,
93,94,롯데지주,"32,700",450,-1.36%,200,"34,305","104,909",8.03,"122,568",46.71,-3.03,
173,174,에스엘,"32,750",500,+1.55%,500,"15,787","48,203",16.63,"141,064",10.36,4.74,
88,89,한솔케미칼,"329,000","10,000",-2.95%,"5,000","37,293","11,335",42.55,"63,341",26.19,24.5,
75,76,메리츠금융지주,"33,250",100,+0.30%,500,"44,559","134,011",8.27,"127,490",7.2,16.06,
131,132,한화,"33,500","1,100",-3.18%,"5,000","25,111","74,959",17.41,"354,862",6.44,4.79,
112,113,KCC,"333,000","4,000",-1.19%,"5,000","29,592","8,886",14.3,"45,299",3.47,12.79,
29,30,하이브,"335,000","1,500",+0.45%,500,"130,820","39,051",16.14,"245,884",119.17,12.52,
82,83,삼성카드,"34,250",400,-1.15%,"5,000","39,682","115,859",8.02,"154,624",8.66,5.69,
92,93,동서,"34,600",600,-1.70%,500,"34,496","99,700",3.28,"213,719",31.92,8.61,
135,136,하이트진로,"34,800",500,-1.42%,"5,000","24,406","70,134",4.67,"482,316",34.83,8.23,
144,145,휠라홀딩스,"37,100",450,-1.20%,"1,000","22,539","60,752",47.99,"323,994",9.35,10.94,
87,88,두산밥캣,"38,050",400,-1.04%,500,"38,145","100,249",25.94,"142,610",10.01,6.15,
19,20,신한지주,"38,250",350,-0.91%,"5,000","197,599","516,600",60.87,"1,488,053",4.95,8.2,
183,184,롯데렌탈,"38,550",500,-1.28%,"5,000","14,122","36,634",1.1,"77,701",19.68,6.73,
64,65,KODEX 200,"38,825",635,-1.61%,0,"53,734","138,400",1.46,"3,408,700",,,
149,150,TIGER 200,"38,885",605,-1.53%,0,"20,920","53,800",0.0,"570,595",,,
60,61,CJ제일제당,"380,000","6,500",-1.68%,"5,000","57,206","15,054",23.79,"69,370",13.25,13.5,
113,114,LG화학우,"383,500","9,000",-2.29%,"5,000","29,487","7,689",70.58,"12,724",10.33,,
178,179,F&F홀딩스,"39,000",350,-0.89%,500,"15,255","39,114",1.0,"124,845",0.29,16.59,
103,104,메리츠증권,"4,660",80,-1.69%,"1,000","31,769","681,731",14.21,"1,182,463",4.97,13.08,
47,48,한화솔루션,"40,850",650,-1.57%,"5,000","78,137","191,278",19.31,"1,164,976",10.13,5.3,
2,3,NAVER,"407,000","6,000",-1.45%,100,"668,552","164,263",56.67,"466,136",4.05,15.22,
91,92,GS건설,"41,350",100,+0.24%,"5,000","35,388","85,581",26.03,"419,114",10.91,7.68,
66,67,한국타이어앤테크놀로지,"41,350",500,-1.19%,500,"51,222","123,875",41.82,"336,375",8.3,5.12,
156,157,한전KPS,"41,850",400,-0.95%,200,"18,832","45,000",7.39,"201,582",19.28,8.23,
198,199,코스모신소재,"42,050",800,-1.87%,"1,000","12,652","30,087",6.22,"591,486",66.64,7.16,
84,85,GS,"42,250",450,-1.05%,"5,000","39,257","92,915",19.36,"190,353",4.81,-2.82,
80,81,한국가스공사,"44,300",900,-1.99%,"5,000","40,895","92,313",9.92,"409,954",16.23,-2.24,
58,59,현대제철,"44,450",150,-0.34%,"5,000","59,317","133,446",20.9,"614,464",24.56,-2.59,
151,152,영원무역,"44,650","1,000",-2.19%,500,"19,785","44,311",27.21,"117,505",10.56,8.03,
142,143,한화에어로스페이스,"45,000",350,-0.77%,"5,000","22,784","50,630",17.68,"310,284",8.7,4.78,
27,28,하나금융지주,"45,000",350,-0.77%,"5,000","135,109","300,242",68.29,"1,000,605",4.44,8.96,
194,195,PI첨단소재,"45,200","2,300",-4.84%,500,"13,274","29,366",17.24,"379,800",24.31,15.62,
186,187,아이에스동서,"45,200",700,-1.53%,500,"13,963","30,893",4.55,"61,444",12.89,10.92,
71,72,에스디바이오센서,"45,800",350,-0.76%,500,"47,298","103,271",3.25,"251,028",6.94,139.97,
15,16,크래프톤,"469,500","5,500",-1.16%,100,"229,851","48,957",6.29,"126,205",40.42,61.86,
76,77,삼성증권,"47,350",400,-0.84%,"5,000","42,284","89,300",30.19,"252,225",4.63,9.89,
152,153,현대엘리베이,"48,250",50,-0.10%,"5,000","19,693","40,815",26.75,"136,356",20.44,9.78,
160,161,오뚜기,"481,000","4,000",-0.82%,"5,000","17,662","3,672",12.54,"3,313",20.12,7.93,
79,80,아모레G,"49,600","1,000",-1.98%,500,"40,899","82,458",16.46,"164,439",31.59,0.31,
177,178,금호타이어,"5,350",130,-2.37%,"5,000","15,368","287,260",4.15,"315,523",72.3,-6.74,
190,191,롯데리츠,"5,660",0,0.00%,500,"13,752","242,969",9.93,"355,552",71.65,1.68,
61,62,현대건설,"50,300",100,+0.20%,"5,000","56,012","111,356",21.43,"435,740",45.4,1.84,
121,122,신풍제약,"51,800","5,200",-9.12%,500,"27,446","52,985",8.26,"1,588,894",863.33,1.72,
179,180,동원시스템즈,"52,100","1,200",-2.25%,"5,000","15,207","29,188",13.52,"49,543",24.76,10.97,
95,96,두산퓨얼셀,"52,200","1,600",+3.16%,100,"34,188","65,494",15.07,"1,213,308",870.0,4.18,
43,44,고려아연,"537,000","5,000",+0.94%,"5,000","101,332","18,870",18.7,"74,099",14.01,8.37,
89,90,한진칼,"54,800","2,100",-3.69%,"2,500","36,573","66,739",14.66,"121,508",-37.41,-19.55,
14,15,KB금융,"56,600","1,200",-2.08%,"5,000","235,347","415,808",68.98,"1,574,035",5.58,8.53,
86,87,한미사이언스,"57,000","1,500",-2.56%,500,"38,364","67,305",1.69,"83,655",125.55,3.47,
129,130,DB하이텍,"57,500",0,0.00%,"5,000","25,529","44,399",16.08,"706,696",15.28,23.07,
159,160,LS ELECTRIC,"58,900","2,400",-3.92%,"5,000","17,670","30,000",18.71,"138,077",19.26,6.15,
78,79,DB손해보험,"59,200","1,600",-2.63%,500,"41,914","70,800",42.71,"284,903",6.07,9.08,
77,78,유한양행,"59,900",900,-1.48%,"1,000","41,914","69,973",18.14,"154,389",43.56,11.06,
128,129,효성티앤씨,"597,000","9,000",-1.49%,"5,000","25,836","4,328",22.61,"29,192",5.11,25.1,
99,100,팬오션,"6,020",50,-0.82%,"1,000","32,181","534,570",10.71,"4,789,576",18.47,3.25,
126,127,대우건설,"6,250",130,-2.04%,"5,000","25,976","415,623",11.6,"2,119,841",5.69,11.06,
81,82,삼성중공업,"6,380",0,0.00%,"1,000","40,194","630,000",14.24,"14,045,651",-2.8,-33.06,
114,115,만도,"62,400",600,-0.95%,"1,000","29,301","46,957",23.75,"276,988",12.36,0.37,
150,151,LS,"62,600",200,-0.32%,"5,000","20,157","32,200",14.43,"69,928",8.12,3.94,
26,27,엔씨소프트,"627,000","6,000",+0.97%,500,"137,652","21,954",44.6,"135,013",33.66,20.83,
10,11,카카오뱅크,"63,100","1,500",-2.32%,"5,000","299,788","475,100",5.11,"1,495,503",204.21,5.08,
67,68,현대중공업지주,"63,200",0,0.00%,"1,000","49,924","78,993",17.35,"173,109",-14.6,-8.12,
6,7,삼성전자우,"64,000","1,400",-2.14%,100,"526,647","822,887",74.38,"1,590,805",13.48,,
189,190,DL,"65,700","1,000",-1.50%,"5,000","13,768","20,956",13.37,"91,741",2.12,11.84,
28,29,삼성생명,"67,300","1,800",-2.60%,500,"134,600","200,000",12.65,"480,878",7.68,3.53,
199,200,영풍,"686,000","11,000",-1.58%,"5,000","12,636","1,842",4.44,"1,760",8.24,4.03,
115,116,씨에스윈드,"69,400",100,+0.14%,500,"29,267","42,171",11.13,"168,848",49.22,8.19,
0,1,삼성전자,"69,800",900,-1.27%,100,"4,166,908","5,969,783",51.3,"16,497,812",14.7,9.99,
83,84,쌍용C&E,"7,850",120,+1.55%,100,"39,553","503,860",3.18,"1,436,250",25.32,7.92,
123,124,한전기술,"70,900",500,+0.71%,200,"27,098","38,220",3.67,"698,757",131.05,,
104,105,효성첨단소재,"709,000","1,000",-0.14%,"5,000","31,763","4,480",12.09,"37,435",21.6,0.03,
127,128,일진하이솔루스,"71,400",600,-0.83%,500,"25,928","36,313",4.12,"85,112",133.21,34.27,
7,8,삼성SDI,"734,000","12,000",-1.61%,"5,000","504,732","68,765",45.18,"346,715",54.38,4.54,
108,109,현대미포조선,"75,700",900,+1.20%,"5,000","30,236","39,942",10.76,"518,676",-16.64,-0.84,
59,60,코웨이,"79,400",200,+0.25%,500,"58,597","73,800",59.89,"228,144",13.76,31.51,
63,64,미래에셋증권,"8,680",50,-0.57%,"5,000","55,145","635,316",13.3,"1,152,686",6.59,8.94,
116,117,BNK금융지주,"8,800",110,-1.23%,"5,000","28,682","325,935",39.14,"1,808,641",4.24,6.11,
162,163,JB금융지주,"8,870",90,-1.00%,"5,000","17,472","196,983",40.73,"433,828",3.85,10.06,
175,176,NHN,"80,000","6,700",+9.14%,500,"15,652","19,565",12.24,"1,327,688",71.43,1.35,
36,37,KT&G,"81,100",400,-0.49%,"5,000","111,344","137,292",36.25,"390,067",10.05,13.22,
132,133,더존비즈온,"81,300",900,+1.12%,500,"24,701","30,383",40.86,"292,951",39.62,15.09,
180,181,TIGER 미국나스닥100,"81,910",0,0.00%,0,"15,071","18,400",0.01,"122,499",,,
130,131,솔루스첨단소재,"82,300","1,700",+2.11%,100,"25,175","30,590",8.25,"266,720",-214.32,-5.1,
154,155,현대백화점,"82,800",900,-1.08%,"5,000","19,377","23,402",19.62,"97,104",14.96,1.65,
105,106,에스원,"83,300","1,500",-1.77%,500,"31,653","37,999",53.87,"55,864",21.6,10.48,
3,4,LG화학,"836,000","14,000",-1.65%,"5,000","590,152","70,592",47.55,"316,232",22.52,2.93,
141,142,현대위아,"84,100","2,900",-3.33%,"5,000","22,871","27,195",6.86,"283,248",22.5,1.96,
145,146,롯데정밀화학,"85,100","1,200",+1.43%,"5,000","21,956","25,800",21.75,"438,332",8.95,12.65,
9,10,기아,"85,100",900,-1.05%,"5,000","344,964","405,363",35.14,"1,901,630",9.93,5.05,
54,55,F&F,"868,000","5,000",-0.57%,500,"66,501","7,661",12.72,"20,911",,,
70,71,한국금융지주,"87,000",300,+0.35%,"5,000","48,482","55,726",35.25,"182,083",4.13,16.27,
94,95,호텔신라,"87,400",300,-0.34%,"5,000","34,303","39,248",16.14,"361,117",-26.58,-36.74,
4,5,삼성바이오로직스,"871,000","15,000",-1.69%,"2,500","576,297","66,165",10.65,"53,862",172.13,,
136,137,코오롱인더,"89,200",100,+0.11%,"5,000","24,065","26,979",21.39,"195,895",17.87,9.7,
163,164,KODEX 삼성그룹,"9,790",180,-1.81%,0,"17,465","178,400",0.3,"138,258",,,
25,26,LG,"91,200",300,-0.33%,"5,000","143,458","157,301",33.81,"249,866",5.71,7.5,
50,51,SK바이오팜,"94,600","2,400",-2.47%,500,"74,084","78,313",6.31,"207,990",-125.13,-135.18,
117,118,CJ,"95,800","1,000",-1.03%,"5,000","27,952","29,177",17.68,"82,525",65.48,1.89,
138,139,현대차우,"97,500",900,-0.91%,"5,000","23,748","24,357",58.88,"42,207",7.06,,
90,91,현대차2우B,"97,900","1,700",-1.71%,"5,000","35,719","36,485",60.92,"51,243",7.09,,
